item_name|category|void_relic
Boar Prime Blueprint|Primary|Neo D1
Boar Prime Barrel|Primary|Axi V2
Boar Prime Receiver|Primary|Lith M1
Boar Prime Stock|Primary|Meso B1
Boltor Prime Blueprint|Primary| ""
Boltor Prime Barrel|Primary| ""
Boltor Prime Receiver|Primary| ""
Boltor Prime Stock|Primary| ""
Braton Prime Blueprint|Primary|Axi N1 Meso V1|
Braton Prime Barrel|Primary|Lith A1|
Braton Prime Receiver|Primary|Axi V2 Axi V3|
Braton Prime Stock|Primary|Axi A1 Meso N1 Neo V2|
Burston Prime Blueprint|Primary|Meso V1|
Burston Prime Barrel|Primary|Axi T1 Lith F2|
Burston Prime Receiver|Primary|Neo S3|
Burston Prime Stock|Primary|Lith K1 Lith V1 Neo S2|
Latron Prime Blueprint|Primary| ""
Latron Prime Barrel|Primary| ""
Latron Prime Receiver|Primary| ""
Latron Prime Stock|Primary| ""
Paris Prime Blueprint|Primary|Axi G1 Lith F1 Meso S1 Meso V2
Paris Prime Grip|Primary|Lith S1 Meso S2
Paris Prime String|Primary|Lith S1 Lith S3 Meso S2 Neo N3 Neo V3
Paris Prime Upper Limb|Primary|Axi N3 Lith F2 Lith V1 Meso S1 Neo S2
Paris Prime Lower Limb|Primary|Lith V1 Meso F1 Neo S2
Soma Prime Blueprint|Primary|Lith M1 Neo S1
Soma Prime Barrel|Primary|Neo S3
Soma Prime Receiver|Primary|Lith S3 Neo N1
Soma Prime Stock|Primary|Lith S2 Meso S1
Tigris Prime Blueprint|Primary|Axi T1
Tigris Prime Barrel|Primary|Lith K1
Tigris Prime Stock|Primary|Meso S1
Tigris Prime Receiver|Primary|Neo V3
Vectis Prime Blueprint|Primary|Lith A1
Vectis Prime Barrel|Primary|Axi T1
Vectis Prime Receiver|Primary|Meso V1
Vectis Prime Stock|Primary|Axi V2 Axi V3
Akbronco Prime Blueprint|Secondary|Lith S2 Lith S3
Akbronco Prime Link|Secondary|Axi S1 Lith N1
Akstiletto Prime Blueprint|Secondary|Lith A1
Akstiletto Prime Barrel|Secondary|Axi A1
Akstiletto Prime Receiver|Secondary|Axi K1 Axi T1
Akstiletto Prime Link|Secondary|Axi N1
Bronco Prime Blueprint|Secondary|Axi N2 Axi S1 Lith N1 Lith S1 Meso N2 Meso S2
Bronco Prime Barrel|Secondary|Axi N3 Neo V1
Bronco Prime Receiver|Secondary|Axi S1 Meso F1
Hikou Prime Blueprint|Secondary|Lith S1 Meso N2
Hikou Prime Pouch|Secondary|Axi K1 Axi V2
Hikou Prime Stars|Secondary|Lith F2 Neo N1
Lato Prime Blueprint|Secondary| ""
Lato Prime Barrel|Secondary| ""
Lato Prime Receiver|Secondary| ""
Lex Prime Blueprint|Secondary|Meso D1 Neo N2
Lex Prime Barrel|Secondary|Axi K1 Neo N3 Neo S1
Lex Prime Receiver|Secondary|Axi N2 Lith M1
Sicarus Prime Blueprint|Secondary| ""
Sicarus Prime Barrel|Secondary| ""
Sicarus Prime Receiver|Secondary| ""
Spira Prime Blueprint|Secondary|Meso V1
Spira Prime Pouch|Secondary|Lith S1 Lith S3
Spira Prime Blade|Secondary|Neo S3
Vasto Prime Blueprint|Secondary|Neo S3
Vasto Prime Barrel|Secondary|Axi V3 Neo D1 Neo N2
Vasto Prime Receiver|Secondary|Lith A1 Meso V2
Ankyros Prime Blueprint|Melee| ""
Ankyros Prime Blade|Melee| ""
Ankyros Prime Gauntlet|Melee| ""
Bo Prime Blueprint|Melee| ""
Bo Prime Ornament|Melee| ""
Bo Prime Handle|Melee| ""
Dakra Prime Blueprint|Melee|Lith M1
Dakra Prime Blade|Melee|Neo D1
